CH1    CH2    CH3    CH4    CH5    CH6    CH7    CH8
31457    31997    28364    0    0    32657    31463    37764
31461    31988    28386    0    0    32660    31463    37753
31444    32006    28400    0    0    32673    31464    37783
31462    31993    28379    0    0    32664    31454    37776
31462    31980    28396    0    0    32658    31460    37744
31456    31988    28370    0    0    32666    31472    37763
31478    31969    28376    0    0    32667    31431    37775
31460    32005    28388    0    0    32668    31465    37767
31476    31974    28395    0    0    32660    31466    37760
31450    31978    28386    0    0    32656    31468    37752
31470    31980    28346    0    0    32637    31424    37648
31468    31996    28392    0    0    32647    31448    37765
31460    31996    28400    0    0    32682    31452    37756
31468    31972    28385    0    0    32625    31440    37756
31460    31994    28393    0    0    32634    31430    37741
31465    31986    28400    0    0    32636    31460    37764
31458    31996    28378    0    0    32647    31452    37767
31476    32000    28376    0    0    32650    31431    37771
31472    31990    28390    0    0    32657    31436    37763
31462    31999    28386    0    0    32640    31424    37774
31464    31979    28384    0    0    32653    31422    37754
31468    31981    28374    0    0    32658    31421    37750
31468    31993    28372    0    0    32661    31425    37782
31476    31975    28370    0    0    32647    31436    37754
31474    31981    28391    0    0    32667    31435    37748
31458    31992    28360    0    0    32647    31431    37737
31448    31990    28369    0    0    32647    31420    37752
31460    31992    28379    0    0    32650    31412    37766
31475    31981    28357    0    0    32639    31420    37767
31476    31988    28397    0    0    32646    31430    37743
31458    31981    28380    0    0    32638    31412    37760
31465    31982    28393    0    0    32646    31431    37755
31457    31988    28393    0    0    32647    31418    37754
31446    31992    28359    0    0    32657    31425    37758
31461    31981    28390    0    0    32640    31424    37767
31457    31991    28403    0    0    32652    31420    37772
31466    31980    28380    0    0    32662    31416    37736
31461    31989    28394    0    0    32653    31422    37748
31456    31996    28384    0    0    32662    31416    37750
31454    31994    28357    0    0    32652    31416    37737
31466    31981    28384    0    0    32644    31427    37760
31464    31985    28382    0    0    32653    31426    37761
31456    31996    28372    0    0    32640    31437    37724
31476    31988    28392    0    0    32655    31420    37750
31464    31980    28356    0    0    32640    31430    37760
31464    31970    28384    0    0    32658    31424    37740
31460    31995    28354    0    0    32647    31418    37735
31474    31982    28374    0    0    32637    31405    37796
31468    31976    28368    0    0    32630    31428    37792
31462    31976    28364    0    0    32656    31424    37754
31456    31990    28376    0    0    32647    31428    37755
31456    31990    28382    0    0    32644    31414    37759
31450    32004    28406    0    0    32656    31418    37732
31468    31978    28396    0    0    32644    31434    37757
31464    31988    28384    0    0    32646    31431    37763
31474    31984    28352    0    0    32659    31424    37767
31456    31982    28388    0    0    32655    31416    37767
31458    31996    28413    0    0    32664    31444    37754
31458    31992    28392    0    0    32647    31426    37759
31480    31973    28375    0    0    32647    31424    37767
31452    31974    28402    0    0    32640    31418    37762
31440    31995    28390    0    0    32643    31426    37767
31460    31985    28377    0    0    32647    31428    37742
31460    31992    28373    0    0    32638    31424    37754
31464    31978    28374    0    0    32639    31428    37792
31462    31988    28363    0    0    32641    31402    37780
31465    31984    28352    0    0    32639    31413    37761
31450    31996    28366    0    0    32638    31394    37765
31466    31990    28376    0    0    32659    31393    37740
31458    31981    28386    0    0    32623    31398    37762
31484    31978    28384    0    0    32612    31392    37735
31460    31993    28389    0    0    32635    31396    37742
31460    31970    28384    0    0    32644    31364    37752
31460    31978    28375    0    0    32618    31367    37744
31456    31988    28370    0    0    32639    31368    37756
31472    31972    28397    0    0    32628    31352    37748
31456    31989    28379    0    0    32622    31360    37757
31460    31974    28370    0    0    32628    31353    37762
31482    31975    28370    0    0    32617    31365    37760
31473    31974    28372    0    0    32600    31372    37737
31466    31984    28368    0    0    32608    31364    37753
31460    31974    28406    0    0    32592    31364    37750
31462    31988    28375    0    0    32608    31358    37740
31472    31977    28396    0    0    32624    31338    37761
31470    31979    28376    0    0    32620    31333    37750
31468    31986    28381    0    0    32616    31340    37762
31480    31996    28382    0    0    32601    31342    37740
31460    31986    28392    0    0    32616    31345    37728
31469    31984    28388    0    0    32585    31325    37754
31457    31984    28375    0    0    32610    31332    37754
31470    31976    28374    0    0    32608    31328    37730
31452    31984    28389    0    0    32615    31333    37736
31468    31975    28388    0    0    32614    31334    37740
31458    31985    28388    0    0    32600    31328    37732
31468    31988    28374    0    0    32601    31336    37748
31483    31997    28383    0    0    32613    31328    37750
31452    31981    28393    0    0    32605    31337    37728
31464    31983    28393    0    0    32614    31348    37735
31468    31976    28388    0    0    32605    31331    37728
31492    31975    28393    0    0    32594    31342    37740
31458    31982    28383    0    0    32604    31333    37744
31452    31980    28390    0    0    32610    31327    37724
31466    31986    28374    0    0    32628    31328    37710
31460    31990    28384    0    0    32610    31324    37730
31465    31992    28368    0    0    32608    31333    37760
31456    31977    28368    0    0    32605    31329    37730
31480    31982    28391    0    0    32594    31346    37754
31480    31986    28380    0    0    32616    31332    37731
31476    31969    28402    0    0    32627    31341    37732
31470    31997    28384    0    0    32599    31334    37730
31464    31990    28382    0    0    32602    31341    37742
31470    31997    28368    0    0    32600    31328    37740
31456    31984    28384    0    0    32600    31328    37728
31451    31996    28402    0    0    32613    31335    37745
31468    31986    28392    0    0    32602    31318    37742
31448    32000    28404    0    0    32592    31303    37760
31456    31980    28406    0    0    32580    31303    37750
31464    31988    28398    0    0    32592    31296    37724
31460    31990    28380    0    0    32583    31302    37733
31467    31972    28405    0    0    32580    31296    37738
31460    31997    28370    0    0    32585    31296    37718
31458    32007    28382    0    0    32588    31284    37735
31465    31981    28379    0    0    32570    31303    37726
31480    31976    28382    0    0    32570    31285    37728
31480    31970    28382    0    0    32567    31308    37745
31478    31975    28376    0    0    32581    31285    37729
31461    31988    28404    0    0    32578    31306    37746
31454    31990    28372    0    0    32566    31290    37731
31480    31986    28373    0    0    32573    31281    37734
31450    31980    28404    0    0    32580    31288    37724
